"","zip","family_size","income_limit","year"
"163","113","7",54375,"2017"
"164","113","8",57900,"2017"
"165","113","9",66585,"2017"
"166","113","10",76572.75,"2017"
"167","113","11",88058.6625,"2017"
"168","113","NoAnswer",1,"2017"
"169","114","1",31600,"2017"
"170","114","2",36133.3333333333,"2017"
"171","114","3",40633.3333333333,"2017"
"172","114","4",45133.3333333333,"2017"
"173","114","5",48766.6666666667,"2017"
"174","114","6",52366.6666666667,"2017"
"175","114","7",55966.6666666667,"2017"
"176","114","8",59600,"2017"
"177","114","9",68540,"2017"
"178","114","10",78821,"2017"
"179","114","11",90644.15,"2017"
"180","114","NoAnswer",1,"2017"
"181","115","1",33400,"2017"
"182","115","2",38183.3333333333,"2017"
"183","115","3",42950,"2017"
"184","115","4",47700,"2017"
"185","115","5",51533.3333333333,"2017"
"186","115","6",55350,"2017"
"187","115","7",59150,"2017"
"188","115","8",62983.3333333333,"2017"
"189","115","9",72430.8333333333,"2017"
"190","115","10",83295.4583333333,"2017"
"191","115","11",95789.7770833333,"2017"
"192","115","NoAnswer",1,"2017"
"193","116","1",33400,"2017"
"194","116","2",38200,"2017"
"195","116","3",42950,"2017"
"196","116","4",47700,"2017"
"197","116","5",51550,"2017"
"198","116","6",55350,"2017"
"199","116","7",59150,"2017"
"200","116","8",63000,"2017"
"201","116","9",72450,"2017"
"202","116","10",83317.5,"2017"
"203","116","11",95815.125,"2017"
"204","116","NoAnswer",1,"2017"
"205","117","1",38800,"2017"
"206","117","2",44350,"2017"
"207","117","3",49900,"2017"
"208","117","4",55400,"2017"
"209","117","5",59850,"2017"
"210","117","6",64300,"2017"
"211","117","7",68700,"2017"
"212","117","8",73150,"2017"
"213","117","9",84122.5,"2017"
"214","117","10",96740.875,"2017"
"215","117","11",111252.00625,"2017"
"216","117","NoAnswer",1,"2017"
"217","118","1",38800,"2017"
"218","118","2",44350,"2017"
"219","118","3",49900,"2017"
"220","118","4",55400,"2017"
"221","118","5",59850,"2017"
"222","118","6",64300,"2017"
"223","118","7",68700,"2017"
"224","118","8",73150,"2017"
"225","118","9",84122.5,"2017"
"226","118","10",96740.875,"2017"
"227","118","11",111252.00625,"2017"
"228","118","NoAnswer",1,"2017"
"229","119","1",33400,"2017"
"230","119","2",38175,"2017"
"231","119","3",42950,"2017"
"232","119","4",47700,"2017"
"233","119","5",51525,"2017"
"234","119","6",55350,"2017"
"235","119","7",59150,"2017"
"236","119","8",62975,"2017"
"237","119","9",72421.25,"2017"
"238","119","10",83284.4375,"2017"
"239","119","11",95777.103125,"2017"
"240","119","NoAnswer",1,"2017"
"241","120","1",25314.2857142857,"2017"
"242","120","2",28917.8571428571,"2017"
"243","120","3",32539.2857142857,"2017"
"244","120","4",36135.7142857143,"2017"
"245","120","5",39046.4285714286,"2017"
"246","120","6",41928.5714285714,"2017"
"247","120","7",44828.5714285714,"2017"
"248","120","8",47710.7142857143,"2017"
